Iteration,Metric_Name,Metric_Value,Metric_Unit
15,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,9991,%
15,smsp__inst_executed_op_global_ld.sum,512,inst
15,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,000,%
15,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,346,%
15,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,000,%
15,smsp__warp_issue_stalled_misc_per_warp_active.pct,000,%
16,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,77 68189,byte/s
16,lts__t_bytes.min,35 072,byte
16,lts__t_request_hit_rate.ratio,046,
16,lts__t_requests.max,283,request
16,lts__t_requests.min,280,request
16,lts__t_requests.sum,1 128,request
16,lts__t_sector_hit_rate.pct,4994,%
16,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,000,%
16,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,2 62669,sector/s
16,lts__t_sectors_op_read.sum.per_second,2 62669,sector/s
16,lts__t_sectors_op_write.sum.per_second,2 44297,sector/s
16,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,9994,%
16,smsp__inst_executed_op_global_ld.sum,512,inst
16,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,000,%
16,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,346,%
16,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,000,%
16,smsp__warp_issue_stalled_misc_per_warp_active.pct,000,%
17,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,77 72428,byte/s
17,lts__t_bytes.min,35 072,byte
17,lts__t_request_hit_rate.ratio,046,
17,lts__t_requests.max,284,request
17,lts__t_requests.min,280,request
17,lts__t_requests.sum,1 128,request
17,lts__t_sector_hit_rate.pct,4994,%
17,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,000,%
17,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,2 62813,sector/s
17,lts__t_sectors_op_read.sum.per_second,2 62813,sector/s
17,lts__t_sectors_op_write.sum.per_second,2 44430,sector/s
17,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,9992,%
17,smsp__inst_executed_op_global_ld.sum,512,inst
17,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,000,%
17,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,346,%
17,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,000,%
17,smsp__warp_issue_stalled_misc_per_warp_active.pct,000,%
18,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,77 67424,byte/s
18,lts__t_bytes.min,35 072,byte
18,lts__t_request_hit_rate.ratio,046,
18,lts__t_requests.max,285,request
18,lts__t_requests.min,280,request
18,lts__t_requests.sum,1 128,request
18,lts__t_sector_hit_rate.pct,4994,%
18,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,000,%
18,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,2 62644,sector/s
18,lts__t_sectors_op_read.sum.per_second,2 62644,sector/s
18,lts__t_sectors_op_write.sum.per_second,2 44273,sector/s
18,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,9990,%
18,smsp__inst_executed_op_global_ld.sum,512,inst
18,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,000,%
18,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,346,%
18,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,000,%
18,smsp__warp_issue_stalled_misc_per_warp_active.pct,000,%
19,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,77 69904,byte/s
19,lts__t_bytes.min,34 816,byte
19,lts__t_request_hit_rate.ratio,046,
19,lts__t_requests.max,285,request
19,lts__t_requests.min,278,request
19,lts__t_requests.sum,1 128,request
19,lts__t_sector_hit_rate.pct,4994,%
19,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,000,%
19,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,2 62727,sector/s
19,lts__t_sectors_op_read.sum.per_second,2 62727,sector/s
19,lts__t_sectors_op_write.sum.per_second,2 44351,sector/s
19,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,9993,%
19,smsp__inst_executed_op_global_ld.sum,512,inst
19,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,000,%
19,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,346,%
19,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,000,%
19,smsp__warp_issue_stalled_misc_per_warp_active.pct,000,%
20,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,77 73802,byte/s
20,lts__t_bytes.min,35 072,byte
20,lts__t_request_hit_rate.ratio,046,
20,lts__t_requests.max,286,request
20,lts__t_requests.min,280,request
20,lts__t_requests.sum,1 128,request
20,lts__t_sector_hit_rate.pct,4994,%
20,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,000,%
20,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,2 62859,sector/s
20,lts__t_sectors_op_read.sum.per_second,2 62859,sector/s
20,lts__t_sectors_op_write.sum.per_second,2 44473,sector/s
20,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,9991,%
20,smsp__inst_executed_op_global_ld.sum,512,inst
20,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,000,%
20,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,346,%
20,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,000,%
20,smsp__warp_issue_stalled_misc_per_warp_active.pct,000,%
21,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,77 68369,byte/s
21,lts__t_bytes.min,35 072,byte
21,lts__t_request_hit_rate.ratio,046,
21,lts__t_requests.max,285,request
21,lts__t_requests.min,280,request
21,lts__t_requests.sum,1 128,request
21,lts__t_sector_hit_rate.pct,4994,%
21,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,000,%
21,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,2 62676,sector/s
21,lts__t_sectors_op_read.sum.per_second,2 62676,sector/s
21,lts__t_sectors_op_write.sum.per_second,2 44303,sector/s
21,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,9991,%
21,smsp__inst_executed_op_global_ld.sum,512,inst
21,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,000,%
21,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,346,%
21,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,000,%
21,smsp__warp_issue_stalled_misc_per_warp_active.pct,000,%
22,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,77 70829,byte/s
22,lts__t_bytes.min,35 072,byte
22,lts__t_request_hit_rate.ratio,046,
22,lts__t_requests.max,285,request
22,lts__t_requests.min,280,request
22,lts__t_requests.sum,1 128,request
22,lts__t_sector_hit_rate.pct,4994,%
22,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,000,%
22,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,2 62759,sector/s
22,lts__t_sectors_op_read.sum.per_second,2 62759,sector/s
22,lts__t_sectors_op_write.sum.per_second,2 44380,sector/s
22,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,9989,%
22,smsp__inst_executed_op_global_ld.sum,512,inst
22,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,000,%
22,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,346,%
22,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,000,%
22,smsp__warp_issue_stalled_misc_per_warp_active.pct,000,%
23,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,77 71168,byte/s
23,lts__t_bytes.min,35 072,byte
23,lts__t_request_hit_rate.ratio,046,
23,lts__t_requests.max,287,request
23,lts__t_requests.min,280,request
23,lts__t_requests.sum,1 128,request
23,lts__t_sector_hit_rate.pct,4994,%
23,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,000,%
23,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,2 62770,sector/s
23,lts__t_sectors_op_read.sum.per_second,2 62770,sector/s
23,lts__t_sectors_op_write.sum.per_second,2 44391,sector/s
23,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,9985,%
23,smsp__inst_executed_op_global_ld.sum,512,inst
23,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,000,%
23,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,346,%
23,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,000,%
23,smsp__warp_issue_stalled_misc_per_warp_active.pct,000,%
24,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,77 70594,byte/s
24,lts__t_bytes.min,34 816,byte
24,lts__t_request_hit_rate.ratio,046,
24,lts__t_requests.max,287,request
24,lts__t_requests.min,278,request
24,lts__t_requests.sum,1 128,request
24,lts__t_sector_hit_rate.pct,4994,%
24,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,000,%
24,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,2 62751,sector/s
24,lts__t_sectors_op_read.sum.per_second,2 62751,sector/s
24,lts__t_sectors_op_write.sum.per_second,2 44372,sector/s
24,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,9992,%
24,smsp__inst_executed_op_global_ld.sum,512,inst
24,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,000,%
24,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,346,%
24,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,000,%
24,smsp__warp_issue_stalled_misc_per_warp_active.pct,000,%
25,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,77 72023,byte/s
25,lts__t_bytes.min,35 072,byte
25,lts__t_request_hit_rate.ratio,046,
25,lts__t_requests.max,285,request
25,lts__t_requests.min,280,request
25,lts__t_requests.sum,1 128,request
25,lts__t_sector_hit_rate.pct,4994,%
25,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,000,%
25,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,2 62799,sector/s
25,lts__t_sectors_op_read.sum.per_second,2 62799,sector/s
25,lts__t_sectors_op_write.sum.per_second,2 44417,sector/s
25,smsp__cycles_active.avg.pct_of_peak_sustained_elapsed,9994,%
25,smsp__inst_executed_op_global_ld.sum,512,inst
25,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,000,%
25,smsp__warp_issue_stalled_dispatch_stall_per_warp_active.pct,346,%
25,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,000,%
25,smsp__warp_issue_stalled_misc_per_warp_active.pct,000,%
26,l1tex__t_bytes_pipe_lsu_mem_global_op_st.sum.per_second,77 72181,byte/s
26,lts__t_bytes.min,34 944,byte
26,lts__t_request_hit_rate.ratio,046,
26,lts__t_requests.max,284,request
26,lts__t_requests.min,281,request
26,lts__t_requests.sum,1 128,request
26,lts__t_sector_hit_rate.pct,4994,%
26,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,000,%
26,lts__t_sectors_aperture_sysmem_op_read.sum.per_second,2 62804,sector/s
26,lts__t_sectors_op_read.sum.per_second,2 62804,sector/s
26,lts__t_sectors_op_write.sum.per_second,2 44422,sector/s
